"Manufacturer","Model_Name","CPU","Display_Size","Operating_System","RAM","GPU","Screen_Resolution","Price_in_USD","Page","Product_Link"
"ACE","S156","INTEL","14""","LINUX","8GB","NVIDIA","2560 x 1440","269.65","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s156-laptop15-6-inch-windows-10-english-version-intel-cherry-trail-x5-z8350quadcore-1-44ghz-4gb-ram-64gb-emmc-notebook_51107022/502421209.html"
"ACE","S156","ARM","15.4""","WINDOWS","16GB","INTEL","1280 x 720","269.65","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s156-laptop15-6-inch-windows-10-english-version-intel-cherry-trail-x5-z8350quadcore-1-44ghz-4gb-ram-64gb-emmc-notebook_51107022/502421209.html"
"ACE","S156","INTEL","13""","LINUX","32GB","INTEL","3840 x 2160","269.65","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s156-laptop15-6-inch-windows-10-english-version-intel-cherry-trail-x5-z8350quadcore-1-44ghz-4gb-ram-64gb-emmc-notebook_51107022/502421209.html"
"ACE","S156","NVIDIA","17""","WINDOWS","4GB","NVIDIA","2560 x 1440","269.65","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s156-laptop15-6-inch-windows-10-english-version-intel-cherry-trail-x5-z8350quadcore-1-44ghz-4gb-ram-64gb-emmc-notebook_51107022/502421209.html"
"ACE","S11","ARM","13""","LINUX","8GB","NVIDIA","1280 x 720","320.8","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51052481/502294671.html"
"ACE","S11","ARM","15.4""","LINUX","16GB","ARM","2560 x 1440","320.8","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51052481/502294671.html"
"ACE","S11","NVIDIA","15.6""","WINDOWS","4GB","ARM","2560 x 1440","320.8","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51052481/502294671.html"
"ACE","S11","INTEL","14""","WINDOWS","32GB","ARM","2560 x 1440","321.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51053247/502297061.html"
"ACE","S11","NVIDIA","15.6""","WINDOWS","12GB","NVIDIA","3840 x 2160","321.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51053247/502297061.html"
"ACE","S11","NVIDIA","17""","LINUX","12GB","ARM","1280 x 720","321.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51053247/502297061.html"
